# Count, Count Uncertainty, Sky Count
1.197087116830373503e+02,6.228034664142364818e+01,9.157237477289056187e+03
1.155698327727931201e+02,6.217222860317608735e+01,9.136303416719743836e+03
1.258775313494105319e+02,6.225056464408078938e+01,9.130016529694685232e+03
1.196302465923282625e+02,6.233462578000979448e+01,9.175685862382953928e+03
1.248490979521661615e+02,6.226843211167786762e+01,9.169540504051608877e+03
1.068109207031805568e+02,6.210962381611197003e+01,9.144465626095621701e+03
1.126461181863290903e+02,6.222684088713766926e+01,9.162085156288807411e+03
7.964796858516562850e+01,6.178815637860895293e+01,9.121380602625717074e+03
1.048881299463900234e+02,6.211385549685385143e+01,9.148282977725568344e+03
9.856973091928098540e+01,6.205796058550141225e+01,9.150003023364075489e+03
8.546823539342649667e+01,6.195090593193098272e+01,9.154475695034767341e+03
1.034933667991372488e+02,6.207115314581967880e+01,9.141262582261249918e+03
1.439723294707007710e+02,6.233435539029118644e+01,9.106507966886936629e+03
1.549996587864888795e+02,6.254134565759710540e+01,9.137755950132441285e+03
1.412217669792394190e+02,6.226741117470844245e+01,9.092613914436718915e+03
1.262988113304334803e+02,6.241573476540914811e+01,9.179704471634526271e+03
1.361303794296419198e+02,6.224451512052407054e+01,9.104188993732004747e+03
1.296045090657378012e+02,6.238196186750437278e+01,9.160246682106051594e+03
1.236059563181517973e+02,6.235014274551493685e+01,9.167868576283683069e+03
1.724955773941715904e+02,6.266148908796551353e+01,9.125810969613947236e+03
1.388337703142585156e+02,6.247302029001335200e+01,9.163581064349960798e+03
1.465895286673944895e+02,6.235361698617792570e+01,9.104923277986021276e+03
1.372872757972182853e+02,6.244335008506036644e+01,9.161010640367596352e+03
1.986021406928902024e+02,6.302675482337718194e+01,9.164907055265890449e+03
1.558394422443496978e+02,6.257007711996122623e+01,9.145576776487925599e+03
1.815258992440674888e+02,6.278838373885841406e+01,9.141258328580672242e+03
1.785745893445155730e+02,6.276285625556283065e+01,9.141127274778484207e+03
1.913016027709107050e+02,6.277528023441502825e+01,9.109646190264307734e+03
1.662335948383698110e+02,6.261030039886253462e+01,9.127252893991008023e+03
1.509340942688784537e+02,6.256140274435045256e+01,9.155920337139707044e+03
1.766260836314236258e+02,6.267082990477258164e+01,9.118674414048884501e+03
1.681683367665363278e+02,6.264622610551821680e+01,9.135162740020175988e+03
1.665087002512476317e+02,6.264822957042527207e+01,9.137790858958753233e+03
1.349863025834507368e+02,6.233915761861980087e+01,9.133575734154163001e+03
1.702981067213385415e+02,6.264766067126696214e+01,9.129143678223019378e+03
1.739336973701023794e+02,6.265776701785700453e+01,9.121569210198356814e+03
1.546794212452841464e+02,6.274175635306919219e+01,9.201000283877190668e+03
2.132409028210634858e+02,6.305222797054747019e+01,9.131973073633147578e+03
1.859515556582259990e+02,6.281243262984324360e+01,9.135004161424254562e+03
1.736682257286785216e+02,6.279826297278052749e+01,9.164999255418779285e+03
2.030973902249209004e+02,6.294990746461501629e+01,9.153118148842315350e+03
2.073208552238031643e+02,6.286113828828610650e+01,9.090017952068725208e+03
1.926199739259052990e+02,6.293280672872333525e+01,9.152973437090986408e+03
2.489304527103033422e+02,6.325154103986289300e+01,9.092904913261900219e+03
2.200748253259505418e+02,6.308867146833038220e+01,9.124531891288615952e+03
1.940572768274336681e+02,6.290661784215352270e+01,9.142600779438422251e+03
1.982216823671109296e+02,6.287949264981435249e+01,9.119871868434849603e+03
1.794058017863313239e+02,6.285890415983051582e+01,9.168033354922034050e+03
1.824348571107920804e+02,6.262709775273575019e+01,9.088563496017932266e+03
1.552088981579081235e+02,6.255320799726645475e+01,9.142572222574082843e+03
1.919685789634850437e+02,6.283856628998606908e+01,9.127577650110753893e+03
2.490632881087534543e+02,6.337625872022461238e+01,9.131999789215591591e+03
2.278367050540021523e+02,6.316975439467885423e+01,9.127490277300619709e+03
2.088242507016985599e+02,6.301454111241250189e+01,9.133533611834354815e+03
2.041539976662199365e+02,6.295002516375283363e+01,9.125987946035333152e+03
1.863088876838083934e+02,6.294874746522151554e+01,9.175486828571012666e+03
2.023371552740286177e+02,6.285764597404200771e+01,9.103523894163628938e+03
2.083172762043640205e+02,6.309265428633749195e+01,9.159010627659583406e+03
2.005566807448051634e+02,6.294770819196500611e+01,9.134989859009541760e+03
1.705100812382580386e+02,6.284368261452258508e+01,9.187496543463879789e+03
2.422641260614930445e+02,6.318964053838209338e+01,9.093000324512557199e+03
1.951207593000355587e+02,6.299431727725376362e+01,9.165001313630044024e+03
2.669262988350928936e+02,6.358785867553923055e+01,9.147014102614899457e+03
2.498300256268604755e+02,6.326468598075754812e+01,9.095993736482630993e+03
2.138747344137299820e+02,6.314986261266246004e+01,9.160505930179942879e+03
2.622309233657691721e+02,6.336356485205546818e+01,9.091484851293382235e+03
2.342794602329942677e+02,6.324655209348223650e+01,9.133484325789879222e+03
2.239850087180494711e+02,6.312553542331377798e+01,9.126012347864583717e+03
2.795736483427152166e+02,6.341432879800223787e+01,9.058501456078947740e+03
2.687012716728293640e+02,6.349422590493799845e+01,9.113967412978890934e+03
2.196282510544482136e+02,6.307700617241149388e+01,9.121551020629840423e+03
2.362336211466747784e+02,6.324386439191835052e+01,9.127436114666017602e+03
2.213015093139490261e+02,6.310534055530406050e+01,9.125993052767476911e+03
2.665805429202728192e+02,6.348337494464273334e+01,9.115610125486853576e+03
2.121320198855233059e+02,6.307848822123776955e+01,9.143923807267810844e+03
2.507977338366571018e+02,6.331429212370015591e+01,9.107988448916119523e+03
2.375100512040163778e+02,6.321094324850623281e+01,9.112609862590865305e+03
2.524939349146648908e+02,6.348351479860760094e+01,9.156042703389213784e+03
2.586025692721573819e+02,6.263546914234434126e+01,9.066088226521927936e+03
2.754028646393126110e+02,6.360373311043640854e+01,9.128986082182382233e+03
2.695409678468499237e+02,6.353700012919663465e+01,9.124516805658468002e+03
2.465396018074173696e+02,6.324610490923512884e+01,9.098938259721091526e+03
2.436000042571526194e+02,6.340693162175517017e+01,9.156225917099440267e+03
2.659111140992940818e+02,6.353310371288928593e+01,9.133506896073658936e+03
3.015303946204480781e+02,6.392169884696438231e+01,9.155744752947573943e+03
2.393298585726091972e+02,6.345798133340327496e+01,9.184565930985350860e+03
2.596458578546710783e+02,6.331844801860624017e+01,9.084131498799017209e+03
2.939524893008399999e+02,6.380679473096444099e+01,9.140791322428442072e+03
2.803806307929420996e+02,6.366391577331916807e+01,9.133581850790340468e+03
3.236301839884885112e+02,6.384815583396019179e+01,9.070462135869964186e+03
2.795997906590321236e+02,6.372714135346067366e+01,9.155867777249386563e+03
2.574718010653915599e+02,6.345762211209770953e+01,9.133576472327084048e+03
2.910107535669595791e+02,6.381692024052003376e+01,9.151628738110641279e+03
2.518008357336166796e+02,6.352688412048185995e+01,9.171044643327424637e+03
3.100616953772960755e+02,6.381946271926366876e+01,9.099177451365796514e+03
3.494668066285344707e+02,6.411064278702546915e+01,9.080881863521102787e+03
