# Flux, Flux Uncertainty, Sky Flux
6.111981501570031647e-13,3.179854842909393450e-13,4.675421302241388271e-11
5.707482571609549342e-13,3.070411219581590799e-13,4.512015918754578433e-11
6.017452336962620689e-13,2.975827390950186349e-13,4.364515153273691526e-11
5.539694541589309318e-13,2.886517381864839559e-13,4.248966990797855785e-11
5.604310932392824040e-13,2.795147586569983006e-13,4.116085493189871041e-11
4.651057067571207547e-13,2.704549337392937205e-13,3.981936603430807231e-11
4.761614677013027038e-13,2.630363510460571478e-13,3.872864849196599872e-11
3.270492599365985163e-13,2.537135745635898084e-13,3.745407232199508053e-11
4.186579563295984502e-13,2.479256691425056407e-13,3.651510859557715644e-11
3.827021275635491818e-13,2.409432726135264821e-13,3.552536454747869553e-11
3.229920183199147249e-13,2.341179509743398947e-13,3.459557305458652012e-11
3.809346451828377014e-13,2.284692577987472747e-13,3.364682902871673148e-11
5.164696179202022389e-13,2.236110288003460991e-13,3.266762931138451930e-11
5.422466937615169619e-13,2.187929842667781044e-13,3.196728296792133726e-11
4.820994506302076447e-13,2.125669814335718163e-13,3.104014534520684227e-11
4.209856303114569248e-13,2.080473059467099088e-13,3.059825846621209784e-11
4.433187219888173487e-13,2.027039005522364239e-13,2.964846969762497808e-11
4.126006982193765803e-13,1.985952588252281653e-13,2.916198058341967398e-11
3.849016228373053245e-13,1.941546495147506486e-13,2.854819944022814420e-11
5.256980116216973995e-13,1.909673321277348507e-13,2.781184743188450611e-11
4.143286149143537787e-13,1.864413817163270850e-13,2.734733661308329778e-11
4.286309389919752283e-13,1.823233190071383598e-13,2.662299176190132363e-11
3.935290973700319770e-13,1.789916440037090443e-13,2.625971145079831151e-11
5.583771792334681422e-13,1.772020253746268126e-13,2.576747124478241064e-11
4.299772032122106582e-13,1.726373399272655188e-13,2.523359598496895005e-11
4.917609820363085580e-13,1.700962638195149795e-13,2.476403748132005623e-11
4.752276129371166079e-13,1.670262407934387638e-13,2.432661953916886812e-11
5.003596485472954526e-13,1.641921275127242041e-13,2.382677039883097740e-11
4.275385594863025840e-13,1.610283268406810468e-13,2.347451222575251502e-11
3.818949191296852044e-13,1.582934721106265020e-13,2.316639904090101304e-11
4.398602160175414062e-13,1.560721056208003410e-13,2.270866236227626829e-11
4.123887028480103943e-13,1.536234253053433821e-13,2.240158870032920590e-11
4.022514564215533514e-13,1.513454945531986908e-13,2.207506079829707574e-11
3.213957738746703633e-13,1.484264804804551484e-13,2.174659639637598178e-11
3.997953974436613178e-13,1.470729585853139995e-13,2.143176865217690561e-11
4.027848388849221775e-13,1.450989599759674781e-13,2.112316267784315039e-11
3.534788425242761178e-13,1.433796637915672482e-13,2.102644879471711332e-11
4.810820785574173429e-13,1.422489610973024245e-13,2.060218527249570502e-11
