# Pixel positions of the trace in the spatial direction, Width of the trace
5.437658427813603339e+02,3.456978168189714928e+00
5.437614114557102312e+02,3.456978168189714928e+00
5.437569797118351289e+02,3.456978168189714928e+00
5.437525475530779886e+02,3.456978168189714928e+00
5.437481149827818854e+02,3.456978168189714928e+00
5.437436820042896670e+02,3.456978168189714928e+00
5.437392486209441813e+02,3.456978168189714928e+00
5.437348148360885034e+02,3.456978168189714928e+00
5.437303806530655947e+02,3.456978168189714928e+00
5.437259460752183031e+02,3.456978168189714928e+00
5.437215111058895900e+02,3.456978168189714928e+00
5.437170757484223031e+02,3.456978168189714928e+00
5.437126400061596314e+02,3.456978168189714928e+00
5.437082038824443089e+02,3.456978168189714928e+00
5.437037673806192970e+02,3.456978168189714928e+00
5.436993305040276709e+02,3.456978168189714928e+00
5.436948932560121648e+02,3.456978168189714928e+00
5.436904556399159674e+02,3.456978168189714928e+00
5.436860176590818128e+02,3.456978168189714928e+00
5.436815793168526625e+02,3.456978168189714928e+00
5.436771406165715916e+02,3.456978168189714928e+00
5.436727015615814480e+02,3.456978168189714928e+00
5.436682621552250794e+02,3.456978168189714928e+00
5.436638224008456746e+02,3.456978168189714928e+00
5.436593823017859677e+02,3.456978168189714928e+00
5.436549418613889202e+02,3.456978168189714928e+00
5.436505010829974935e+02,3.456978168189714928e+00
5.436460599699547629e+02,3.456978168189714928e+00
5.436416185256034623e+02,3.456978168189714928e+00
5.436371767532866670e+02,3.456978168189714928e+00
5.436327346563472247e+02,3.456978168189714928e+00
5.436282922381282106e+02,3.456978168189714928e+00
5.436238495019724724e+02,3.456978168189714928e+00
5.436194064512228579e+02,3.456978168189714928e+00
5.436149630892225559e+02,3.456978168189714928e+00
5.436105194193143006e+02,3.456978168189714928e+00
5.436060754448410535e+02,3.456978168189714928e+00
5.436016311691457759e+02,3.456978168189714928e+00
5.435971865955715430e+02,3.456978168189714928e+00
5.435927417274610889e+02,3.456978168189714928e+00
5.435882965681574888e+02,3.456978168189714928e+00
5.435838511210037041e+02,3.456978168189714928e+00
5.435794053893424689e+02,3.456978168189714928e+00
5.435749593765169720e+02,3.456978168189714928e+00
5.435705130858700613e+02,3.456978168189714928e+00
5.435660665207445845e+02,3.456978168189714928e+00
5.435616196844836168e+02,3.456978168189714928e+00
5.435571725804300058e+02,3.456978168189714928e+00
5.435527252119268269e+02,3.456978168189714928e+00
5.435482775823168140e+02,3.456978168189714928e+00
5.435438296949431560e+02,3.456978168189714928e+00
5.435393815531484734e+02,3.456978168189714928e+00
5.435349331602760685e+02,3.456978168189714928e+00
5.435304845196686756e+02,3.456978168189714928e+00
5.435260356346691424e+02,3.456978168189714928e+00
5.435215865086206577e+02,3.456978168189714928e+00
5.435171371448660693e+02,3.456978168189714928e+00
5.435126875467482250e+02,3.456978168189714928e+00
5.435082377176100863e+02,3.456978168189714928e+00
5.435037876607947283e+02,3.456978168189714928e+00
5.434993373796448850e+02,3.456978168189714928e+00
5.434948868775037454e+02,3.456978168189714928e+00
5.434904361577140435e+02,3.456978168189714928e+00
5.434859852236187407e+02,3.456978168189714928e+00
5.434815340785609123e+02,3.456978168189714928e+00
5.434770827258834061e+02,3.456978168189714928e+00
5.434726311689291833e+02,3.456978168189714928e+00
5.434681794110412056e+02,3.456978168189714928e+00
5.434637274555623208e+02,3.456978168189714928e+00
5.434592753058354901e+02,3.456978168189714928e+00
5.434548229652037890e+02,3.456978168189714928e+00
5.434503704370100650e+02,3.456978168189714928e+00
5.434459177245971659e+02,3.456978168189714928e+00
5.434414648313082807e+02,3.456978168189714928e+00
5.434370117604860297e+02,3.456978168189714928e+00
5.434325585154736018e+02,3.456978168189714928e+00
5.434281050996139584e+02,3.456978168189714928e+00
5.434236515162498335e+02,3.456978168189714928e+00
5.434191977687241888e+02,3.456978168189714928e+00
5.434147438603802129e+02,3.456978168189714928e+00
5.434102897945605264e+02,3.456978168189714928e+00
5.434058355746083180e+02,3.456978168189714928e+00
5.434013812038664355e+02,3.456978168189714928e+00
5.433969266856778404e+02,3.456978168189714928e+00
5.433924720233854941e+02,3.456978168189714928e+00
